Focus Group,Expectation,processed_expectation,label,vader_sentiment
Assessment Assessment Supervisors,Improved Historical Records: Maintain comprehensive historical permit and property records that reduce the need to search multiple systems.,improved historical record maintain comprehensive historical permit property record reduce need search multiple system,positive,positive
Assessment Assessment Supervisors,"Integrated Property Information: Better integrate historical permits, certificates, surveys, and property documentation into one location.",integrated property information better integrate historical permit certificate survey property documentation one location,positive,positive
Assessment Assessment Supervisors,Improved Document Viewing: Improve the ability to view large plans and historical documents within the system.,improved document viewing improve ability view large plan historical document within system,positive,positive
Assessment Assessment Supervisors,Better Property Research: Make historical property information easier to access when evaluating assessments and occupancy changes.,better property research make historical property information easier access evaluating assessment occupancy change,positive,positive
Assessment Assessment Supervisors,"Improved Parcel Tracking: Better track parcel history following subdivisions, lot alterations, and occupancy changes.",improved parcel tracking better track parcel history following subdivision lot alteration occupancy change,positive,positive
BAA BAA Supervisors,"Automated Ticket Processing: Automate ticket creation, hearing preparation, payments, appeals, and administrative workflows.",automated ticket processing automate ticket creation hearing preparation payment appeal administrative workflow,positive,positive
BAA BAA Supervisors,"Linked Property Cases: Automatically link all violations, complaints, hearings, and tickets associated with the same property or owner.",linked property case automatically link violation complaint hearing ticket associated property owner,negative,negative
BAA BAA Supervisors,"Improved Evidence Management: Provide a centralized repository for inspection photographs, documents, hearing evidence, and supporting materials.",improved evidence management provide centralized repository inspection photograph document hearing evidence supporting material,positive,positive
BAA BAA Supervisors,"Enhanced Search Capabilities: Improve searching by owner, LLC, parcel, address, and tax ID while providing more reliable reports.",enhanced search capability improve searching owner llc parcel address tax id providing reliable report,positive,positive
BAA BAA Supervisors,Integrated Payment Management: Link payments directly to specific violations and improve payment tracking across cases.,integrated payment management link payment directly specific violation improve payment tracking across case,negative,negative
BAA BAA Supervisors,"Simplified User Experience: Reduce unnecessary actions, improve case navigation, color-code BAA activities, and make notes more accessible.",simplified user experience reduce unnecessary action improve case navigation baa activity make note accessible,positive,positive
BAA BAA Supervisors,"Online Constituent Portal: Allow property owners to view evidence, dispute violations, schedule hearings, submit appeals, and make payments through an online portal.",online constituent portal allow property owner view evidence dispute violation schedule hearing submit appeal make payment online portal,negative,negative
BAA BAA Supervisors,"Improved Interdepartmental Coordination: Strengthen communication and information sharing between BAA, Code Enforcement, Corporation Counsel, and CPC.",improved interdepartmental coordination strengthen communication information sharing baa code enforcement corporation counsel cpc,positive,positive
BAA BAA Supervisors,"Standardized Documentation Practices: Improve consistency in inspector documentation, photographs, evidence submission, and case notes before hearings.",standardized documentation practice improve consistency inspector documentation photograph evidence submission case note hearing,positive,positive
BAA BAA Supervisors,"Modern Hearing Management: Support online dispute resolution, virtual hearings, automated scheduling, and streamlined appeal processes.",modern hearing management support online dispute resolution virtual hearing automated scheduling streamlined appeal process,neutral,neutral
BAA BAA Supervisors,"Improved Constituent Experience: Provide clearer communication, easier payment options, real-time case status, and self-service capabilities for property owners.",improved constituent experience provide clearer communication easier payment option case status capability property owner,positive,positive
CPO Central Permit Office,Unified Permit & Code Platform: Create a seamless connection between permit and code enforcement activities.,unified permit code platform create seamless connection permit code enforcement activity,positive,positive
CPO Central Permit Office,Shared Case Visibility: Allow permit reviewers and code staff to see related activities.,shared case visibility allow permit reviewer code staff see related activity,positive,positive
CPO Central Permit Office,Automatic Workflow Triggers: Permit and violation activity should trigger notifications across systems.,automatic workflow trigger permit violation activity trigger notification across system,negative,negative
CPO Central Permit Office,"Integrated Property Records: Display permits, violations, certificates, and reviews in one place.",integrated property record display permit violation certificate review one place,negative,negative
CPO Central Permit Office,Single Property View: Consolidate all property information into a single record.,single property view consolidate property information single record,neutral,neutral
CPO Central Permit Office,"Historical Data Accessibility: Make historical permits, violations, and certificates easier to access.",historical data accessibility make historical permit violation certificate easier access,negative,negative
CPO Central Permit Office,Improved Search Capabilities: Reduce time spent locating information.,improved search capability reduce time spent locating information,positive,positive
CPO Central Permit Office,"Better Property Relationships: Display related permits, violations, and ownership information together.",better property relationship display related permit violation ownership information together,negative,negative
CPO Central Permit Office,Review Status Tracking: Improve visibility into application review progress.,review status tracking improve visibility application review progress,positive,positive
CPO Central Permit Office,Applicant Status Visibility: Allow applicants to view permit status and review stages.,applicant status visibility allow applicant view permit status review stage,positive,positive
CPO Central Permit Office,"Automated Notifications: Notify applicants, reviewers, and inspectors of important updates.",automated notification notify applicant reviewer inspector important update,positive,positive
CPO Central Permit Office,Integrated Reporting: Improve permit tracking and reporting capabilities.,integrated reporting improve permit tracking reporting capability,positive,positive
CPO Central Permit Office,Single Source of Truth: Eliminate the need to use multiple applications and databases.,single source truth eliminate need use multiple application database,positive,positive
CPO Central Permit Office,Consolidated Documentation: Store all permit-related information in a centralized repository.,consolidated documentation store information centralized repository,neutral,neutral
CPO Central Permit Office,Improved Historical Research: Reduce dependence on legacy systems and microfilm.,improved historical research reduce dependence legacy system microfilm,positive,positive
CPO Central Permit Office,Shared Review Visibility: Allow all stakeholders to view review progress and comments.,shared review visibility allow stakeholder view review progress comment,positive,positive
CPO Central Permit Office,Improved Communication Tools: Reduce reliance on manual follow-up and spreadsheets.,improved communication tool reduce reliance manual spreadsheet,positive,positive
CPO Central Permit Office,Customizable User Views: Allow users to configure screens and workflows based on role.,customizable user view allow user configure screen workflow based role,positive,positive
CPO Central Permit Office,Enhanced Alerts & Notifications: Provide proactive reminders and workflow alerts.,enhanced alert notification provide proactive reminder workflow alert,positive,positive
CPO Central Permit Office,"Improved Document Management: Better handling of plans, reviews, and permit documentation.",improved document management better handling plan review permit documentation,positive,positive
CPO Central Permit Office,"Role-Based Dashboards: Provide permit coordinators, managers, and reviewers with tailored views.",dashboard provide permit coordinator manager reviewer tailored view,neutral,neutral
CPO Central Permit Office,Contractor Dashboard: Better visibility into contractor information and insurance records.,contractor dashboard better visibility contractor information insurance record,positive,positive
CPO Central Permit Office,Configurable Reporting: Support permit metrics and operational reporting.,configurable reporting support permit metric operational reporting,positive,positive
CPO Central Permit Office,Audit & User Tracking: Improve tracking of user actions and system activity.,audit user tracking improve tracking user action system activity,positive,positive
CPO Central Permit Office,Integrated Mapping & Property Data: Connect permitting workflows with parcel and property information.,integrated mapping property data connect permitting workflow parcel property information,neutral,neutral
DOCE Admin Aide,Automatically synchronize inspection schedules between IPS and Outlook.,automatically synchronize inspection schedule ip outlook,neutral,neutral
DOCE Admin Aide,Improve scheduling coordination for inspections involving multiple departments.,improve scheduling coordination inspection involving multiple department,positive,positive
DOCE Admin Aide,Streamline the Periodic Inspection module.,streamline periodic inspection module,neutral,neutral
DOCE Admin Aide,Improve search functionality for cases and properties.,improve search functionality case property,positive,positive
DOCE Admin Aide,Make Parcel History easier to navigate for large properties.,make parcel history easier navigate large property,positive,positive
DOCE Admin Aide,Improve visibility of case notes and attachments.,improve visibility case note attachment,positive,positive
DOCE Admin Aide,Auto-populate commonly used complaint and inspection information.,commonly used complaint inspection information,negative,negative
DOCE Admin Aide,Reduce repetitive manual data entry.,reduce repetitive manual data entry,negative,negative
DOCE Admin Aide,Improve attachment management and document uploads.,improve attachment management document uploads,positive,positive
DOCE Admin Aide,Provide more consistent user interface behavior.,provide consistent user interface behavior,neutral,neutral
DOCE Admin Aide,Reduce crashes and memory-related errors.,reduce crash error,negative,negative
DOCE Admin Aide,Improve loading and response times.,improve loading response time,positive,positive
DOCE Admin Aide,Support multitasking without affecting system stability.,support multitasking without affecting system stability,positive,positive
DOCE Admin Aide,Reduce reliance on multiple disconnected systems.,reduce reliance multiple disconnected system,neutral,neutral
DOCE Admin Aide,"Improve integration between IPS, Camino, GIS, and AS400.",improve integration ip camino gi,positive,positive
DOCE Admin Aide,Create a more unified view of property and inspection information.,create unified view property inspection information,positive,positive
DOCE Admin Aide,Eliminate duplicate data entry where possible.,eliminate duplicate data entry possible,neutral,neutral
DOCE Admin Aide,Resolve phone system issues causing dropped calls.,resolve phone system issue causing dropped call,positive,positive
DOCE Admin Aide,Improve communication tools for public interactions.,improve communication tool public interaction,positive,positive
DOCE Admin Aide,Better support high-volume scheduling and customer service activities.,better support scheduling customer service activity,positive,positive
DOCE Admin Aide,Improve access to ownership and property information.,improve access ownership property information,positive,positive
DOCE Admin Aide,Make relevant property information easier to locate and verify.,make relevant property information easier locate verify,positive,positive
DOCE Admin Aide,Add spell-check and grammar-check functionality.,add functionality,neutral,neutral
DOCE Admin Aide,Improve visual organization of records and attachments.,improve visual organization record attachment,positive,positive
DOCE Admin Aide,Support dark mode and modern user interface features.,support dark mode modern user interface feature,positive,positive
DOCE Admin Aide,Make frequently used information easier to identify and access.,make frequently used information easier identify access,positive,positive
DOCE Admin Aides,Single ownership record per owner or organization.,single ownership record per owner organization,neutral,neutral
DOCE Admin Aides,Automatic synchronization of ownership updates.,automatic synchronization ownership update,neutral,neutral
DOCE Admin Aides,Better visualization of ownership relationships.,better visualization ownership relationship,positive,positive
DOCE Admin Aides,Simplified ownership and address updates.,simplified ownership address update,neutral,neutral
DOCE Admin Aides,Improved support for multi-unit and complex ownership structures.,improved support complex ownership structure,positive,positive
DOCE Admin Aides,Improved parcel and address searching.,improved parcel address searching,positive,positive
DOCE Admin Aides,Easier access to historical records.,easier access historical record,positive,positive
DOCE Admin Aides,Dedicated legal and court document sections.,dedicated legal court document section,positive,positive
DOCE Admin Aides,Better organization of attachments and correspondence.,better organization attachment correspondence,positive,positive
DOCE Admin Aides,Reduced crashes and memory issues.,reduced crash memory issue,negative,neutral
DOCE Admin Aides,"Single source of truth for ownership, property, permit, and enforcement information.",single source truth ownership property permit enforcement information,positive,positive
DOCE Admin Aides,"Better integration between IPS, AS400, Camino, GIS, and external databases.",better integration ip camino gi external database,positive,positive
DOCE Admin Aides,Elimination of duplicate data entry.,elimination duplicate data entry,neutral,neutral
DOCE Admin Aides,"Easier access to ownership, tax, water, and licensing information.",easier access ownership tax water licensing information,positive,positive
DOCE Admin Aides,Better reporting and tracking tools.,better reporting tracking tool,positive,positive
DOCE Admin Aides,Improved visibility into BAA tickets and legal referrals.,improved visibility baa ticket legal referral,positive,positive
DOCE Admin Aides,Easier access to frequently used information.,easier access frequently used information,positive,positive
DOCE Admin Aides,Streamlined legal referral and enforcement documentation processes.,streamlined legal referral enforcement documentation process,positive,positive
DOCE Admin Aides,Standardized administrative workflows across the department.,standardized administrative workflow across department,neutral,neutral
DOCE Building Inspectors,"Single Property View: Access ownership, permits, zoning, water, elevator, sprinkler, and enforcement information from one location.",single property view access ownership permit zoning water elevator sprinkler enforcement information one location,neutral,neutral
DOCE Building Inspectors,"Integrated Third-Party Certifications: Make sprinkler, elevator, HVAC, boiler, and fire system certifications accessible within inspection cases.",integrated certification make sprinkler elevator hvac boiler fire system certification accessible within inspection case,negative,negative
DOCE Building Inspectors,Improved Parcel History: Better visibility into related cases and property history.,improved parcel history better visibility related case property history,positive,positive
DOCE Building Inspectors,Consolidated Ownership Records: Eliminate duplicate ownership records and inconsistencies.,consolidated ownership record eliminate duplicate ownership record inconsistency,neutral,neutral
DOCE Building Inspectors,Improved Case Search: Make finding cases faster and easier.,improved case search make finding case faster easier,positive,positive
DOCE Building Inspectors,"Cross-Department Visibility: Display updates from Fire, Zoning, Law, and BAA within inspection cases.",visibility display update fire zoning law baa within inspection case,negative,negative
DOCE Building Inspectors,Improved Reminder Management: Better tracking and visibility of tickle dates.,improved reminder management better tracking visibility tickle date,positive,positive
DOCE Building Inspectors,Comprehensive Case View: Show all related property information within a single screen.,comprehensive case view show related property information within single screen,positive,positive
DOCE Building Inspectors,Greater Stability: Reduce crashes and system interruptions.,greater stability reduce crash system interruption,negative,negative
DOCE Building Inspectors,Faster Performance: Improve loading times and responsiveness.,faster performance improve loading time responsiveness,positive,positive
DOCE Building Inspectors,More Reliable Data Storage: Prevent loss of entered information.,reliable data storage prevent loss entered information,negative,negative
DOCE Building Inspectors,Modern Tablets: Replace outdated tablets with reliable devices.,modern tablet replace outdated tablet reliable device,neutral,neutral
DOCE Building Inspectors,Mobile IPS Application: Enable inspectors to complete inspections entirely in the field.,mobile ip application enable inspector complete inspection entirely field,neutral,neutral
DOCE Building Inspectors,iPhone Compatibility: Provide a mobile application that works on iPhones.,iphone compatibility provide mobile application work iphones,neutral,neutral
DOCE Building Inspectors,Real-Time Data Access: Allow inspectors to access and update cases from anywhere.,data access allow inspector access update case anywhere,positive,positive
DOCE Building Inspectors,Field Citation Capability: Create violations and complete documentation without returning to the office.,field citation capability create violation complete documentation without returning office,negative,negative
DOCE Building Inspectors,One System for Everything: Reduce dependency on multiple systems.,one system everything reduce dependency multiple system,neutral,neutral
DOCE Building Inspectors,"Integrated Permit & Enforcement Records: Combine permit, zoning, inspection, and enforcement information.",integrated permit enforcement record combine permit zoning inspection enforcement information,neutral,neutral
DOCE Building Inspectors,Centralized Property Information: Eliminate the need to research across multiple databases.,centralized property information eliminate need research across multiple database,neutral,neutral
DOCE Building Inspectors,"Better Interdepartmental Communication: Improve communication between Building, Fire, Zoning, Law, BAA, and Permits.",better interdepartmental communication improve communication building fire zoning law baa permit,positive,positive
DOCE Building Inspectors,Faster Zone Check Process: Improve zoning review turnaround times.,faster zone check process improve zoning review turnaround time,positive,positive
DOCE Building Inspectors,Improved Status Updates: Provide automatic updates when related departments complete work.,improved status update provide automatic update related department complete work,positive,positive
DOCE Building Inspectors,Better Permit Coordination: Improve visibility into permit requirements and approvals.,better permit coordination improve visibility permit requirement approval,positive,positive
DOCE Building Inspectors,Elevator Certification Access: Ability to quickly verify elevator certification status.,elevator certification access ability quickly verify elevator certification status,positive,positive
DOCE Building Inspectors,Sprinkler Report Access: Access to sprinkler inspection reports and compliance records.,sprinkler report access access sprinkler inspection report compliance record,neutral,neutral
DOCE Building Inspectors,Water Certification Access: Visibility into water usage and water certification information.,water certification access visibility water usage water certification information,neutral,neutral
DOCE Building Inspectors,Compliance Engine Integration: Direct access to third-party inspection and compliance data.,compliance engine integration direct access inspection compliance data,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,"Real-Time Field Access: Ability to access, update, and modify cases while in the field.",field access ability access update modify case field,positive,positive
DOCE CommercialPermitElectrical Inspectors,Mobile Case Management: Support inspection documentation from mobile devices.,mobile case management support inspection documentation mobile device,positive,positive
DOCE CommercialPermitElectrical Inspectors,Improved Documentation Tools: Better support for inspection notes and permit documentation.,improved documentation tool better support inspection note permit documentation,positive,positive
DOCE CommercialPermitElectrical Inspectors,Integrated Scheduling: Connect inspection scheduling with case management.,integrated scheduling connect inspection scheduling case management,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Faster Search Capabilities: Quickly locate project and permit information.,faster search capability quickly locate project permit information,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Centralized Case Information: Consolidate project history and inspection records.,centralized case information consolidate project history inspection record,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Permit Visibility: Improve visibility into permit-related activities and assignments.,permit visibility improve visibility activity assignment,positive,positive
DOCE CommercialPermitElectrical Inspectors,"Inspection Tracking: Continue the ability to track failed or ""kick-out"" inspections.",inspection tracking continue ability track failed inspection,negative,negative
DOCE CommercialPermitElectrical Inspectors,Future Follow-Up Tracking: Maintain tickler and reminder functionality.,future tracking maintain tickler reminder functionality,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Project Status Monitoring: Better visibility into active and pending projects.,project status monitoring better visibility active pending project,positive,positive
DOCE CommercialPermitElectrical Inspectors,Camino-Outlook Integration: Automatically synchronize inspections scheduled in Camino with Outlook calendars.,integration automatically synchronize inspection scheduled camino outlook calendar,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Unified Scheduling Platform: Eliminate duplicate scheduling activities.,unified scheduling platform eliminate duplicate scheduling activity,positive,positive
DOCE CommercialPermitElectrical Inspectors,Automated Reminders: Create reminders for future inspections and contractor follow-up.,automated reminder create reminder future inspection contractor,positive,positive
DOCE CommercialPermitElectrical Inspectors,Tickler Date Functionality: Add reminder dates and follow-up tracking directly within permit workflows.,tickler date functionality add reminder date tracking directly within permit workflow,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,"Integrated Permit Workflow: Connect permitting, inspections, and enforcement into one workflow.",integrated permit workflow connect permitting inspection enforcement one workflow,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Better Contractor Communication: Improve communication tools and contractor notifications.,better contractor communication improve communication tool contractor notification,positive,positive
DOCE CommercialPermitElectrical Inspectors,Project Lifecycle Tracking: Track projects from permit issuance through completion.,project lifecycle tracking track project permit issuance completion,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Improved Address Management: Standardize and validate address information.,improved address management standardize validate address information,positive,positive
DOCE CommercialPermitElectrical Inspectors,Mobile Inspection Application: Complete inspections entirely from the field.,mobile inspection application complete inspection entirely field,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Photo & Video Integration: Capture and upload inspection documentation directly from mobile devices.,photo video integration capture upload inspection documentation directly mobile device,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Offline Capability: Allow inspections to continue without internet connectivity.,offline capability allow inspection continue without internet connectivity,positive,positive
DOCE CommercialPermitElectrical Inspectors,Field-Based Certificate Issuance: Support approvals and documentation from inspection sites.,certificate issuance support approval documentation inspection site,positive,positive
DOCE CommercialPermitElectrical Inspectors,Improved User Training: Provide more comprehensive training for Camino and permit workflows.,improved user training provide comprehensive training camino permit workflow,positive,positive
DOCE CommercialPermitElectrical Inspectors,"Better Cross-Team Coordination: Improve coordination among Permit Office, inspectors, contractors, and Code Enforcement.",better coordination improve coordination among permit office inspector contractor code enforcement,positive,positive
DOCE CommercialPermitElectrical Inspectors,Standardized Processes: Establish consistent workflows across permit disciplines.,standardized process establish consistent workflow across permit discipline,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Qualified Staffing & Knowledge Transfer: Improve onboarding and training for specialized inspection roles.,qualified staffing knowledge transfer improve onboarding training specialized inspection role,positive,positive
DOCE Fire Prevention Bureau,"Single Property View: View violations, permits, inspections, COs, capacities, and historical records from one screen.",single property view view violation permit inspection co capacity historical record one screen,negative,negative
