Focus Group,Pain Point,processed_pain_points,label,vader_sentiment
Assessment Assessment Supervisors,Historical Record Management: Historical permits and property records often require searching IPS together with OnBase because historical information is not consolidated.,historical record management historical permit property record often require searching ip together onbase historical information consolidated,neutral,neutral
Assessment Assessment Supervisors,"Incomplete Property History: IPS does not always provide a complete historical picture for permits, Certificates of Occupancy, or property changes.",incomplete property history ip always provide complete historical picture permit certificate occupancy property change,neutral,neutral
Assessment Assessment Supervisors,Large Plan Viewing: Large plans and surveys cannot be viewed effectively within IPS.,large plan viewing large plan survey viewed effectively within ip,positive,negative
Assessment Assessment Supervisors,Limited Historical Visibility: Historical records are frequently needed to determine legal occupancy and previous property conditions but are not always easily accessible.,limited historical visibility historical record frequently needed determine legal occupancy previous property condition always easily accessible,positive,negative
Assessment Assessment Supervisors,"Property Research Complexity: Assessment work frequently requires combining information from permits, surveys, Engineering, and historical records to understand complete property history.",property research complexity assessment work frequently requires combining information permit survey engineering historical record understand complete property history,neutral,neutral
Assessment Assessment Supervisors,Subdivision Tracking: Following parcel history after resubdivisions requires coordination with Engineering and County mapping records.,subdivision tracking following parcel history resubdivisions requires coordination engineering county mapping record,neutral,neutral
Assessment Assessment Supervisors,"Permit Dependency: Assessment activities depend heavily on permit activity to identify changes affecting assessed value, although unpermitted improvements can still occur.",permit dependency assessment activity depend heavily permit activity identify change affecting assessed value although unpermitted improvement still occur,positive,positive
Assessment Assessment Supervisors,"Seasonal Workload: Assessment activities vary throughout the year based on tax deadlines, permit volume, and market activity.",seasonal workload assessment activity vary throughout year based tax deadline permit volume market activity,neutral,neutral
CPO Central Permit Office,Split Permit & Code Systems: Permit and Code Enforcement information exists in separate systems and workflows.,split permit code system permit code enforcement information exists separate system workflow,neutral,neutral
CPO Central Permit Office,"Scattered Information: Property and permit information is distributed across IPS, Camino, AS400, OnBase, and historical archives.",scattered information property permit information distributed across ip camino onbase historical archive,neutral,neutral
CPO Central Permit Office,Research Complexity: Users must search multiple systems to understand complete property history.,research complexity user must search multiple system understand complete property history,neutral,neutral
CPO Central Permit Office,"Difficult Information Retrieval: Finding relevant information often feels like ""hunting"" through multiple systems.",difficult information retrieval finding relevant information often feel like hunting multiple system,neutral,neutral
CPO Central Permit Office,Limited IPS-Camino Integration: Information does not flow seamlessly between systems.,limited integration information flow seamlessly system,negative,negative
CPO Central Permit Office,No Shared Permit/Violation Visibility: Permit reviewers cannot easily see related code information.,shared visibility permit reviewer easily see related code information,positive,negative
CPO Central Permit Office,Duplicate Research Effort: Staff repeatedly search for the same information across systems.,duplicate research effort staff repeatedly search information across system,neutral,neutral
CPO Central Permit Office,Limited Status Transparency: Applicants cannot easily see permit status and review progress.,limited status transparency applicant easily see permit status review progress,positive,neutral
CPO Central Permit Office,Review Status Gaps: Difficult for applicants to understand where applications are within the review process.,review status gap difficult applicant understand application within review process,negative,negative
CPO Central Permit Office,Communication Burden: Staff spend significant time responding to status inquiries.,communication burden staff spend significant time responding status inquiry,negative,negative
CPO Central Permit Office,Too Many Applications: Large permit volumes create administrative workload.,many application large permit volume create administrative workload,positive,positive
CPO Central Permit Office,Incorrect Document Uploads: Applicants frequently upload incorrect or incomplete documentation.,incorrect document uploads applicant frequently upload incorrect incomplete documentation,neutral,neutral
CPO Central Permit Office,Manual Tracking Requirements: Staff use spreadsheets and external tools to monitor progress.,manual tracking requirement staff use spreadsheet external tool monitor progress,positive,positive
CPO Central Permit Office,Documentation Gaps: Existing systems do not adequately support permit documentation needs.,documentation gap existing system adequately support permit documentation need,positive,negative
CPO Central Permit Office,Historical Records Across Multiple Sources: Research requires navigating legacy repositories.,historical record across multiple source research requires navigating legacy repository,neutral,neutral
CPO Central Permit Office,No Centralized Repository: Information is spread across numerous databases and archives.,centralized repository information spread across numerous database archive,neutral,negative
CPO Central Permit Office,Cross-Department Dependencies: Progress depends on multiple departments completing reviews.,dependency progress depends multiple department completing review,positive,positive
CPO Central Permit Office,Permit-to-Code Disconnect: Code Enforcement and permitting activities are not fully synchronized.,disconnect code enforcement permitting activity fully synchronized,neutral,neutral
CPO Central Permit Office,Reviewer Coordination: Managing comments and approvals from multiple reviewers is time-consuming.,reviewer coordination managing comment approval multiple reviewer,positive,neutral
CPO CPO Co-Ordinator,System Crashes: IPS crashes during high-volume processing activities.,system crash ip crash processing activity,negative,neutral
CPO CPO Co-Ordinator,Attachment Issues: Problems saving and managing attachments.,attachment issue problem saving managing attachment,positive,positive
CPO CPO Co-Ordinator,Slow Performance: Delays when processing applications and notices.,slow performance delay processing application notice,negative,neutral
CPO CPO Co-Ordinator,Workflow Interruptions: Certain activities require workarounds or manual intervention.,workflow interruption certain activity require workarounds manual intervention,negative,negative
CPO CPO Co-Ordinator,Complex Navigation: Multiple screens and tabs create inefficiencies.,complex navigation multiple screen tab create inefficiency,positive,positive
CPO CPO Co-Ordinator,Duplicate Ownership Records: Ownership information is difficult to maintain.,duplicate ownership record ownership information difficult maintain,negative,negative
CPO CPO Co-Ordinator,Expiration Tracking Limitations: Renewal tracking depends heavily on reports.,expiration tracking limitation renewal tracking depends heavily report,negative,neutral
CPO CPO Co-Ordinator,Address Lookup Challenges: Difficulty locating accurate address information.,address lookup challenge difficulty locating accurate address information,negative,negative
CPO CPO Co-Ordinator,Manual Ownership Maintenance: Significant effort required to maintain ownership records.,manual ownership maintenance significant effort required maintain ownership record,positive,positive
CPO CPO Co-Ordinator,No Automated Renewal Queue: Renewal management requires manual tracking.,automated renewal queue renewal management requires manual tracking,neutral,negative
CPO CPO Co-Ordinator,Property Research Complexity: Multiple searches are often required to locate information.,property research complexity multiple search often required locate information,neutral,neutral
CPO CPO Co-Ordinator,Duplicate Data Entry: Information must often be entered into both IPS and Camino.,duplicate data entry information must often entered ip camino,neutral,neutral
CPO CPO Co-Ordinator,Poor Integration: Limited integration between Camino and IPS.,poor integration limited integration camino ip,negative,negative
CPO CPO Co-Ordinator,"Split Workflows: Licensing, permitting, and registry processes span multiple systems.",split workflow licensing permitting registry process span multiple system,neutral,neutral
CPO CPO Co-Ordinator,Application Processing Complexity: Certain workflows became more complicated after Camino implementation.,application processing complexity certain workflow became complicated camino implementation,positive,positive
CPO CPO Co-Ordinator,Manual Scheduling: Significant effort required to coordinate inspections.,manual scheduling significant effort required coordinate inspection,positive,positive
CPO CPO Co-Ordinator,Applicant Status Requests: Staff spend considerable time responding to status inquiries.,applicant status request staff spend considerable time responding status inquiry,neutral,neutral
CPO CPO Co-Ordinator,Manual Notification Processes: Renewal and expiration notices require manual effort.,manual notification process renewal expiration notice require manual effort,neutral,neutral
CPO CPO Co-Ordinator,Applicant Confusion: Applicants often struggle to understand requirements and application status.,applicant confusion applicant often struggle understand requirement application status,negative,negative
CPO CPO Co-Ordinator,Spreadsheet Dependency: External spreadsheets are required to track work.,spreadsheet dependency external spreadsheet required track work,neutral,neutral
CPO CPO Co-Ordinator,Cross-System Research: Information must be gathered from several systems.,research information must gathered several system,neutral,neutral
CPO CPO Co-Ordinator,Duplicate Processes: Similar information is maintained in multiple locations.,duplicate process similar information maintained multiple location,neutral,neutral
DOCE Admin Aide,IPS crashes frequently during complaint entry and daily operations.,ip crash frequently complaint entry daily operation,negative,negative
DOCE Admin Aide,Users experience unhandled exceptions and memory-related errors.,user experience unhandled exception error,negative,negative
DOCE Admin Aide,Work can be lost when the system crashes unexpectedly.,work lost system crash unexpectedly,negative,negative
DOCE Admin Aide,Multiple open tabs may contribute to instability.,multiple open tab may contribute instability,neutral,neutral
DOCE Admin Aide,Inspection appointments must be entered into multiple systems.,inspection appointment must entered multiple system,neutral,neutral
DOCE Admin Aide,Outlook and IPS schedules are not synchronized.,outlook ip schedule synchronized,neutral,neutral
DOCE Admin Aide,Periodic Inspection scheduling workflows are cumbersome.,periodic inspection scheduling workflow cumbersome,neutral,neutral
DOCE Admin Aide,Inspector lists in the Periodic Inspection module are not alphabetized.,inspector list periodic inspection module alphabetized,neutral,neutral
DOCE Admin Aide,Finding specific cases can be difficult.,finding specific case difficult,negative,negative
DOCE Admin Aide,Parcel History provides limited information when reviewing large properties.,parcel history provides limited information reviewing large property,negative,negative
DOCE Admin Aide,Important information can be difficult to locate within cases.,important information difficult locate within case,negative,negative
DOCE Admin Aide,Case notes and attachments are not always organized consistently.,case note attachment always organized consistently,positive,positive
DOCE Admin Aide,Some features behave differently across modules.,feature behave differently across module,neutral,neutral
DOCE Admin Aide,Certain attachments cannot always be uploaded successfully.,certain attachment always uploaded successfully,positive,positive
DOCE Admin Aide,Some complaint types do not have clearly defined workflows.,complaint type clearly defined workflow,positive,negative
DOCE Admin Aide,Complaint cases can take significant time to open.,complaint case take significant time open,negative,negative
DOCE Admin Aide,System responsiveness slows when handling multiple activities simultaneously.,system responsiveness slows handling multiple activity simultaneously,neutral,neutral
DOCE Admin Aide,Uploading documents can impact performance.,uploading document impact performance,neutral,neutral
DOCE Admin Aide,Calls automatically disconnect after several minutes.,call automatically disconnect several minute,neutral,neutral
DOCE Admin Aide,Long scheduling conversations are frequently interrupted.,long scheduling conversation frequently interrupted,negative,negative
DOCE Admin Aide,Customers become frustrated when calls are dropped.,customer become frustrated call dropped,negative,negative
DOCE Admin Aide,Staff lose significant time handling repeat calls.,staff lose significant time handling repeat call,negative,negative
DOCE Admin Aide,Duplicate data entry is required across multiple applications.,duplicate data entry required across multiple application,neutral,neutral
DOCE Admin Aide,Staff must frequently switch between systems to complete a task.,staff must frequently switch system complete task,neutral,neutral
DOCE Admin Aide,Ownership information can be difficult to verify.,ownership information difficult verify,negative,negative
DOCE Admin Aide,Address changes are not always reflected consistently.,address change always reflected consistently,neutral,neutral
DOCE Admin Aide,Multiple property research tools must be used together.,multiple property research tool must used together,neutral,neutral
DOCE Admin Aide,High call volumes create interruptions throughout the day.,high call volume create interruption throughout day,negative,negative
DOCE Admin Aide,Front-counter traffic can become overwhelming.,traffic become overwhelming,neutral,neutral
DOCE Admin Aide,"Staff rely heavily on personal notes, cheat sheets, and reference documents.",staff rely heavily personal note cheat sheet reference document,negative,negative
DOCE Admin Aide,Knowledge of certain processes is dependent on individual staff experience.,knowledge certain process dependent individual staff experience,positive,positive
DOCE Admin Aide,Limited standardization exists across some administrative workflows.,limited standardization exists across administrative workflow,negative,negative
DOCE Admin Aides,Duplicate ownership and contact records.,duplicate ownership contact record,neutral,neutral
DOCE Admin Aides,Ownership updates do not consistently propagate across records.,ownership update consistently propagate across record,neutral,neutral
DOCE Admin Aides,"Difficult to track relationships between owners, agents, and businesses.",difficult track relationship owner agent business,negative,negative
DOCE Admin Aides,Property manager information is difficult to maintain.,property manager information difficult maintain,negative,negative
DOCE Admin Aides,Address updates require extensive manual effort.,address update require extensive manual effort,neutral,neutral
DOCE Admin Aides,Mailing and parcel addresses are managed separately.,mailing parcel address managed separately,neutral,neutral
DOCE Admin Aides,Changes often require updates in multiple locations.,change often require update multiple location,neutral,neutral
DOCE Admin Aides,Difficult to locate ownership and historical property information.,difficult locate ownership historical property information,negative,negative
DOCE Admin Aides,Parcel History can be difficult to navigate.,parcel history difficult navigate,negative,negative
DOCE Admin Aides,Historical records are not easily accessible.,historical record easily accessible,positive,negative
DOCE Admin Aides,Searching across properties and cases is inefficient.,searching across property case inefficient,neutral,neutral
DOCE Admin Aides,Frequent crashes and memory-related errors.,frequent crash error,negative,negative
DOCE Admin Aides,Unexpected shutdowns can result in lost work.,unexpected shutdown result lost work,negative,negative
DOCE Admin Aides,Performance decreases when handling multiple records.,performance decrease handling multiple record,neutral,neutral
DOCE Admin Aides,BAA referrals require significant manual oversight.,baa referral require significant manual oversight,positive,positive
DOCE Admin Aides,Document management and uploads can be inconsistent.,document management uploads inconsistent,neutral,neutral
DOCE Admin Aides,Administrative workflows are not standardized across modules.,administrative workflow standardized across module,neutral,neutral
DOCE Admin Aides,Duplicate data entry is common.,duplicate data entry common,neutral,neutral
DOCE Admin Aides,No centralized source of property and ownership information exists.,centralized source property ownership information exists,neutral,negative
DOCE Admin Aides,Tickets are frequently returned for minor corrections.,ticket frequently returned minor correction,neutral,neutral
DOCE Admin Aides,Multiple review cycles delay enforcement activities.,multiple review cycle delay enforcement activity,negative,negative
DOCE Admin Aides,"Significant coordination is required between Office Managers, inspectors, and BAA.",significant coordination required office manager inspector baa,positive,positive
DOCE Admin Aides,Ownership verification requires multiple systems.,ownership verification requires multiple system,neutral,neutral
DOCE Admin Aides,Historical property information can be difficult to locate.,historical property information difficult locate,negative,negative
DOCE Admin Aides,Tracking ownership changes requires extensive manual research.,tracking ownership change requires extensive manual research,neutral,neutral
DOCE Admin Aides,High volumes of records management and research activities.,high volume record management research activity,neutral,neutral
DOCE Admin Aides,Significant time spent correcting data and ownership issues.,significant time spent correcting data ownership issue,positive,positive
DOCE Admin Aides,Executive support and special projects compete with operational responsibilities.,executive support special project compete operational responsibility,positive,positive
DOCE Building Inspectors,"Frequent Crashes: IPS crashes regularly, sometimes multiple times per week.",frequent crash ip crash regularly sometimes multiple time per week,negative,neutral
DOCE Building Inspectors,Session Loss: Work can be lost when IPS crashes unexpectedly.,session loss work lost ip crash unexpectedly,negative,negative
DOCE Building Inspectors,Performance Issues: System becomes slower as case volume increases.,performance issue system becomes slower case volume increase,positive,neutral
DOCE Building Inspectors,Ownership Issues: Ownership records are inconsistent and difficult to maintain.,ownership issue ownership record inconsistent difficult maintain,negative,negative
DOCE Building Inspectors,Multiple Record Locations: Ownership information can exist in several places.,multiple record location ownership information exist several place,neutral,neutral
DOCE Building Inspectors,Outdated Information: Contact and ownership information is not always current.,outdated information contact ownership information always current,neutral,neutral
DOCE Building Inspectors,Address Discrepancies: Property addresses are sometimes inconsistent across systems.,address discrepancy property address sometimes inconsistent across system,neutral,neutral
DOCE Building Inspectors,Cases Difficult to Find: Locating specific cases can be time-consuming.,case difficult find locating specific case,negative,negative
DOCE Building Inspectors,Too Much Information in Different Areas: Important information is spread throughout the system.,much information different area important information spread throughout system,positive,positive
DOCE Building Inspectors,Multiple Ways to Update Data: Different update paths create inconsistencies.,multiple way update data different update path create inconsistency,positive,positive
DOCE Building Inspectors,Tickle Dates Can Be Missed: Reminder dates can be overlooked or lost.,tickle date missed reminder date overlooked lost,negative,negative
DOCE Building Inspectors,No Elevator Certification Visibility: Elevator certification status is difficult to access.,elevator certification visibility elevator certification status difficult access,negative,negative
DOCE Building Inspectors,No Water Certification Visibility: Water certification information is not easily available.,water certification visibility water certification information easily available,positive,negative
DOCE Building Inspectors,No Sprinkler Report Access: Inspectors cannot easily access sprinkler system reports.,sprinkler report access inspector easily access sprinkler system report,positive,negative
DOCE Building Inspectors,Zoning Information Gaps: Zoning reviews do not consistently appear within inspection cases.,zoning information gap zoning review consistently appear within inspection case,neutral,neutral
DOCE Building Inspectors,Third-Party Information Missing: Important compliance documentation exists outside IPS.,information missing important compliance documentation exists outside ip,negative,negative
DOCE Building Inspectors,No Single Source of Truth: Information needed for inspections is spread across multiple systems.,single source truth information needed inspection spread across multiple system,positive,neutral
DOCE Building Inspectors,Repeated Research: The same information often must be searched in several locations.,repeated research information often must searched several location,neutral,neutral
DOCE Building Inspectors,Slow Zoning Approvals: Zone checks often delay certificate issuance.,slow zoning approval zone check often delay certificate issuance,positive,negative
DOCE Building Inspectors,BAA Process Delays: Inspectors are often blamed for delays caused by BAA or Law.,baa process delay inspector often blamed delay caused baa law,negative,negative
DOCE Building Inspectors,Permit Communication Gaps: Permit requirements are not always communicated effectively.,permit communication gap permit requirement always communicated effectively,positive,negative
DOCE Building Inspectors,Tablet Reliability Issues: Existing tablets are slow and unreliable.,tablet reliability issue existing tablet slow unreliable,neutral,neutral
DOCE Building Inspectors,Mobile Access Limitations: IPS functionality in the field is limited.,mobile access limitation ip functionality field limited,negative,negative
DOCE Building Inspectors,Need for Personal Hotspots: Inspectors sometimes rely on personal hotspots to connect.,need personal hotspot inspector sometimes rely personal hotspot connect,neutral,neutral
DOCE Building Inspectors,Field Documentation Challenges: Lack of effective mobile tools increases office-based data entry.,field documentation challenge lack effective mobile tool increase data entry,positive,positive
DOCE CommercialPermitElectrical Inspectors,System Buffering & Slowdowns: IPS experiences performance issues and occasional breakdowns.,system buffering slowdown ip experience performance issue occasional breakdown,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Searching Difficulties: Finding information can be time-consuming.,searching difficulty finding information,negative,negative
DOCE CommercialPermitElectrical Inspectors,Limited Documentation Capabilities: Difficult to document certain inspection and permit activities.,limited documentation capability difficult document certain inspection permit activity,negative,negative
DOCE CommercialPermitElectrical Inspectors,Field Access Limitations: Limited ability to access and update cases in the field.,field access limitation limited ability access update case field,negative,positive
DOCE CommercialPermitElectrical Inspectors,Manual Scheduling Requirements: Inspectors often maintain schedules outside IPS.,manual scheduling requirement inspector often maintain schedule outside ip,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,No Permit Workflow Integration: Permit workflows are primarily managed outside IPS.,permit workflow integration permit workflow primarily managed outside ip,neutral,negative
DOCE CommercialPermitElectrical Inspectors,Lack of Permit Tracking Functionality: Permit inspectors rely heavily on Camino instead of IPS.,lack permit tracking functionality permit inspector rely heavily camino instead ip,negative,negative
DOCE CommercialPermitElectrical Inspectors,Limited Follow-Up Tracking: IPS does not adequately support permit inspection workflows.,limited tracking ip adequately support permit inspection workflow,positive,negative
DOCE CommercialPermitElectrical Inspectors,Difficulty Managing Inspection Histories: Inspectors must manually review large volumes of information.,difficulty managing inspection history inspector must manually review large volume information,negative,negative
DOCE CommercialPermitElectrical Inspectors,Searching for Information: Important project and permit information can be difficult to locate.,searching information important project permit information difficult locate,negative,negative
DOCE CommercialPermitElectrical Inspectors,No Unified Permit Record: Information is spread across multiple systems.,unified permit record information spread across multiple system,positive,positive
DOCE CommercialPermitElectrical Inspectors,Project Visibility Issues: Inspectors lack visibility into all project activities from one location.,project visibility issue inspector lack visibility project activity one location,negative,negative
DOCE CommercialPermitElectrical Inspectors,Scheduling Disconnect: Inspections scheduled in Camino do not automatically appear in Outlook.,scheduling disconnect inspection scheduled camino automatically appear outlook,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,No Calendar Integration: Inspectors maintain duplicate schedules.,calendar integration inspector maintain duplicate schedule,neutral,negative
DOCE CommercialPermitElectrical Inspectors,No Tickler Functionality: Camino lacks reminder and follow-up tracking capabilities.,tickler functionality camino lack reminder tracking capability,negative,negative
DOCE CommercialPermitElectrical Inspectors,Address Management Issues: Address information can be inaccurate or difficult to manage.,address management issue address information inaccurate difficult manage,negative,negative
DOCE CommercialPermitElectrical Inspectors,Duplicate Records: Duplicate entries exist within Camino.,duplicate record duplicate entry exist within camino,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Navigation Difficulties: Users find Camino difficult to navigate.,navigation difficulty user find camino difficult navigate,negative,negative
DOCE CommercialPermitElectrical Inspectors,Limited Visibility: Difficult to see assigned work and active projects.,limited visibility difficult see assigned work active project,negative,negative
DOCE CommercialPermitElectrical Inspectors,No Internal Reminder System: Inspectors rely on manual notes and tracking methods.,internal reminder system inspector rely manual note tracking method,neutral,negative
DOCE CommercialPermitElectrical Inspectors,Internet Dependency: Some functions are unavailable when connectivity issues occur.,internet dependency function unavailable connectivity issue occur,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Permit Office Coordination Issues: Permit processes are not fully integrated.,permit office coordination issue permit process fully integrated,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Contractor Coordination: Contractors do not always respond promptly to communication.,contractor coordination contractor always respond promptly communication,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Lack of Coordination: Electrical inspectors identified limited coordination across teams.,lack coordination electrical inspector identified limited coordination across team,negative,negative
DOCE CommercialPermitElectrical Inspectors,Training Gaps: Insufficient training on Camino and related processes.,training gap insufficient training camino related process,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Manual Follow-Up Requirements: Inspectors must manually track contractor responses and inspection needs.,manual requirement inspector must manually track contractor response inspection need,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Handwritten Tracking: Inspectors often maintain handwritten schedules and inspection notes.,handwritten tracking inspector often maintain handwritten schedule inspection note,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Duplicate Data Entry: Information must be entered and tracked in multiple locations.,duplicate data entry information must entered tracked multiple location,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Limited Mobile Functionality: Field-based work remains partially paper-driven.,limited mobile functionality work remains partially,negative,negative
