Focus Group,Expectation,processed_content,label,VADER,Business Score,processed_expectations
DOCE Supervisors,Improved Case Tracking: Better visibility into case status and workflow progression.,improved case tracking better visibility case status workflow progression,positive,0.7184,14,improved case tracking better visibility case status workflow progression
DOCE Supervisors,Case Cleanup Tools: Ability to close and manage large volumes of historical cases.,case cleanup tool ability close manage large volume historical case,positive,0.3182,0,case cleanup tool ability close manage large volume historical case
DOCE Supervisors,"Single Parcel View: Consolidate permits, violations, zoning records, tax information, ownership records, and historical data into a unified property record.",single parcel view consolidate permit violation zoning record tax information ownership record historical data unified property record,negative,-0.2023,3,single parcel view consolidate permit violation zoning record tax information ownership record historical data unified property record
DOCE Supervisors,Improved Parcel History: Better display and organization of parcel-related information.,improved parcel history better display organization information,positive,0.7184,10,improved parcel history better display organization information
DOCE Supervisors,Integrated Property Research: Allow users to conduct comprehensive property research from a single screen.,integrated property research allow user conduct comprehensive property research single screen,positive,0.4404,7,integrated property research allow user conduct comprehensive property research single screen
DOCE Supervisors,Enhanced Reporting: More powerful reporting and dashboard capabilities.,enhanced reporting powerful reporting dashboard capability,positive,0.4754,4,enhanced reporting powerful reporting dashboard capability
DOCE Supervisors,"Trend Analysis: Ability to identify patterns, recurring offenders, and enforcement trends.",trend analysis ability identify pattern recurring offender enforcement trend,negative,-0.0516,0,trend analysis ability identify pattern recurring offender enforcement trend
DOCE Supervisors,Performance Metrics: Better operational monitoring and workload analysis.,performance metric better operational monitoring workload analysis,positive,0.4404,2,performance metric better operational monitoring workload analysis
DOCE Supervisors,Simplified Navigation: Reduce complexity and training requirements.,simplified navigation reduce complexity training requirement,neutral,0.0,3,simplified navigation reduce complexity training requirement
DOCE Supervisors,Role-Based Dashboards: Tailored views for supervisors and managers.,dashboard tailored view supervisor manager,neutral,0.0,2,dashboard tailored view supervisor manager
DOCE Supervisors,Batch Processing: Ability to update and manage multiple cases simultaneously.,batch processing ability update manage multiple case simultaneously,positive,0.3182,0,batch processing ability update manage multiple case simultaneously
DOCE Supervisors,Centralized Platform: Reduce reliance on multiple systems.,centralized platform reduce reliance multiple system,neutral,0.0,3,centralized platform reduce reliance multiple system
DOCE Supervisors,"Unified Database: Consolidate IPS, Camino, AS400, OnBase, GIS, and historical records.",unified database consolidate ip camino onbase gi historical record,positive,0.3818,3,unified database consolidate ip camino onbase gi historical record
DOCE Supervisors,Enterprise Data Management: Establish a single source of truth for all property information.,enterprise data management establish single source truth property information,positive,0.3182,2,enterprise data management establish single source truth property information
DOCE Supervisors,Enterprise GIS Connectivity: Direct integration with County GIS and parcel data.,enterprise gi connectivity direct integration county gi parcel data,neutral,0.0,5,enterprise gi connectivity direct integration county gi parcel data
DOCE Supervisors,Parcel-Centric Design: Build workflows around parcel-level information.,design build workflow around information,neutral,0.0,2,design build workflow around information
DOCE Supervisors,"AI-Assisted Research: Use AI to locate related properties, permits, violations, and ownership information.",research use ai locate related property permit violation ownership information,negative,-0.5267,2,research use ai locate related property permit violation ownership information
DOCE Supervisors,AI Reporting: Automatically generate summaries and trend analysis.,ai reporting automatically generate summary trend analysis,neutral,0.0,2,ai reporting automatically generate summary trend analysis
DOCE Supervisors,AI Data Discovery: Improve access to historical information and records.,ai data discovery improve access historical information record,positive,0.4404,6,ai data discovery improve access historical information record
DOCE Supervisors,Mobile & Cloud Capabilities,mobile cloud capability,neutral,0.0,2,mobile cloud capability
DOCE Supervisors,Cloud-Based Access: Allow users to access information from anywhere.,access allow user access information anywhere,positive,0.2263,2,access allow user access information anywhere
DOCE Supervisors,Mobile Functionality: Support field-based work from phones and tablets.,mobile functionality support work phone tablet,positive,0.4019,2,mobile functionality support work phone tablet
DOCE Supervisors,Real-Time Updates: Ensure information is immediately available across departments.,update ensure information immediately available across department,positive,0.3818,3,update ensure information immediately available across department
DOCE Supervisors,"Cross-Department Visibility: Shared access for Code Enforcement, Fire, Zoning, BAA, Law, and Permits.",visibility shared access code enforcement fire zoning baa law permit,neutral,0.0,4,visibility shared access code enforcement fire zoning baa law permit
DOCE Supervisors,Improved Workflow Integration: Eliminate duplicate work and disconnected processes.,improved workflow integration eliminate duplicate work disconnected process,positive,0.4767,11,improved workflow integration eliminate duplicate work disconnected process
DOCE Supervisors,"Historical Data Migration: Consolidate microfiche, scanned records, shared drives, and legacy systems into a single environment.",historical data migration consolidate microfiche scanned record shared drive legacy system single environment,positive,0.34,3,historical data migration consolidate microfiche scanned record shared drive legacy system single environment
DOCE Supervisors,"Modern, User-Friendly Platform: Easier to use than current systems.",modern platform easier use current system,positive,0.4215,3,modern platform easier use current system
DOCE Supervisors,"Scalable Architecture: Support future technologies, analytics, and operational growth.",scalable architecture support future technology analytics operational growth,positive,0.6486,0,scalable architecture support future technology analytics operational growth
DOCE Supervisors,"Comprehensive Property Lifecycle Management: Track a property from permit application through enforcement, compliance, and historical record retention.",comprehensive property lifecycle management track property permit application enforcement compliance historical record retention,positive,0.25,0,comprehensive property lifecycle management track property permit application enforcement compliance historical record retention
DOCE Zoning,"Unified Property History: Provide a single property view containing zoning history, permits, ownership records, parcel history, and previous approvals.",unified property history provide single property view containing zoning history permit ownership record parcel history previous approval,positive,0.3818,5,unified property history provide single property view containing zoning history permit ownership record parcel history previous approval
DOCE Zoning,"Improved Search Capabilities: Enhance search functionality for parcels, addresses, projects, and historical zoning records.",improved search capability enhance search functionality parcel address project historical zoning record,positive,0.4767,9,improved search capability enhance search functionality parcel address project historical zoning record
DOCE Zoning,"Integrated Historical Records: Consolidate IPS, Camino, OnBase, and legacy records into one searchable repository.",integrated historical record consolidate ip camino onbase legacy record one searchable repository,neutral,0.0,6,integrated historical record consolidate ip camino onbase legacy record one searchable repository
DOCE Zoning,"Enhanced Workflow Visibility: Improve application tracking, project status visibility, and review coordination.",enhanced workflow visibility improve application tracking project status visibility review coordination,positive,0.4404,9,enhanced workflow visibility improve application tracking project status visibility review coordination
DOCE Zoning,"Improved User Experience: Simplify navigation while preserving valuable IPS features such as parcel history, comments, and project timelines.",improved user experience simplify navigation preserving valuable ip feature parcel history comment project timeline,positive,0.7351,8,improved user experience simplify navigation preserving valuable ip feature parcel history comment project timeline
DOCE Zoning,System Consolidation: Reduce reliance on legacy systems and physical archives by digitizing historical records.,system consolidation reduce reliance legacy system physical archive digitizing historical record,neutral,0.0,1,system consolidation reduce reliance legacy system physical archive digitizing historical record
DOCE Zoning,Enhanced Reporting & GIS Integration: Expand GIS capabilities and provide better reporting and dashboards for zoning projects.,enhanced reporting gi integration expand gi capability provide better reporting dashboard zoning project,positive,0.6369,11,enhanced reporting gi integration expand gi capability provide better reporting dashboard zoning project
DOCE Zoning,Earlier Zoning Review: Integrate zoning reviews earlier into permit and Certificate of Use workflows.,earlier zoning review integrate zoning review earlier permit certificate use workflow,neutral,0.0,2,earlier zoning review integrate zoning review earlier permit certificate use workflow
DOCE Zoning,Better Applicant Communication: Improve transparency by providing applicants with easier access to project status and zoning information.,better applicant communication improve transparency providing applicant easier access project status zoning information,positive,0.8225,9,better applicant communication improve transparency providing applicant easier access project status zoning information
DOCE Office Manager,Ownership & Contact Management,ownership contact management,neutral,0.0,0,ownership contact management
DOCE Office Manager,Single ownership record per owner or organization.,single ownership record per owner organization,neutral,0.0,2,single ownership record per owner organization
DOCE Office Manager,Automatic synchronization of ownership updates across IPS tabs.,automatic synchronization ownership update across ip tab,neutral,0.0,0,automatic synchronization ownership update across ip tab
DOCE Office Manager,Better visualization of ownership relationships.,better visualization ownership relationship,positive,0.4404,2,better visualization ownership relationship
DOCE Office Manager,Improved property manager tracking.,improved property manager tracking,positive,0.4767,8,improved property manager tracking
DOCE Office Manager,Simplified ownership and address updates.,simplified ownership address update,neutral,0.0,3,simplified ownership address update
DOCE Office Manager,Better parcel history visibility.,better parcel history visibility,positive,0.4404,6,better parcel history visibility
DOCE Office Manager,Improved support for multi-unit and complex ownership structures.,improved support complex ownership structure,positive,0.7003,6,improved support complex ownership structure
DOCE Office Manager,Consolidated property information view.,consolidated property information view,neutral,0.0,0,consolidated property information view
DOCE Office Manager,Better Search & Navigation,better search navigation,positive,0.4404,4,better search navigation
DOCE Office Manager,Improved parcel and address searching.,improved parcel address searching,positive,0.4767,8,improved parcel address searching
DOCE Office Manager,Easier access to historical records.,easier access historical record,positive,0.4215,3,easier access historical record
DOCE Office Manager,Dedicated legal and court document sections.,dedicated legal court document section,positive,0.5423,0,dedicated legal court document section
DOCE Office Manager,Better organization of attachments and correspondence.,better organization attachment correspondence,positive,0.6124,2,better organization attachment correspondence
DOCE Office Manager,Better BAA referral tracking.,better baa referral tracking,positive,0.4404,4,better baa referral tracking
DOCE Office Manager,System Performance & Usability Improvements,system performance usability improvement,positive,0.3182,3,system performance usability improvement
DOCE Office Manager,Reduced crashes and memory issues.,reduced crash memory issue,negative,0.0,1,reduced crash memory issue
DOCE Office Manager,Improved reliability and stability.,improved reliability stability,positive,0.4767,6,improved reliability stability
DOCE Office Manager,"Single source of truth for ownership, property, permit, and enforcement information.",single source truth ownership property permit enforcement information,positive,0.3182,2,single source truth ownership property permit enforcement information
DOCE Office Manager,"Better integration between IPS, AS400, Camino, GIS, and external databases.",better integration ip camino gi external database,positive,0.4404,7,better integration ip camino gi external database
DOCE Office Manager,Elimination of duplicate data entry.,elimination duplicate data entry,neutral,0.0,0,elimination duplicate data entry
DOCE Office Manager,Automatic synchronization between systems.,automatic synchronization system,neutral,0.0,0,automatic synchronization system
DOCE Office Manager,Modernized workflows and interface.,modernized workflow interface,neutral,0.0,2,modernized workflow interface
DOCE Office Manager,Better organization of information.,better organization information,positive,0.4404,2,better organization information
DOCE Office Manager,Easier access to frequently used information.,easier access frequently used information,positive,0.4215,2,easier access frequently used information
DOCE Office Manager,"Easier access to ownership, tax, water, and licensing information.",easier access ownership tax water licensing information,positive,0.4215,2,easier access ownership tax water licensing information
DOCE Office Manager,Centralized property research capabilities.,centralized property research capability,neutral,0.0,5,centralized property research capability
DOCE Office Manager,Improved historical records access.,improved historical record access,positive,0.4767,9,improved historical record access
DOCE Office Manager,Reporting & Administrative Support,reporting administrative support,positive,0.4019,2,reporting administrative support
DOCE Office Manager,Better reporting and tracking tools.,better reporting tracking tool,positive,0.4404,6,better reporting tracking tool
DOCE Office Manager,Improved visibility into BAA tickets and legal referrals.,improved visibility baa ticket legal referral,positive,0.5574,8,improved visibility baa ticket legal referral
DOCE Office Manager,Enhanced administrative monitoring capabilities.,enhanced administrative monitoring capability,neutral,0.0,0,enhanced administrative monitoring capability
DOCE Office Manager,Reduced manual administrative work.,reduced manual administrative work,neutral,0.0,1,reduced manual administrative work
DOCE Office Manager,Streamlined legal referral and enforcement documentation processes.,streamlined legal referral enforcement documentation process,positive,0.128,3,streamlined legal referral enforcement documentation process
DOCE Office Manager,Standardized administrative workflows across the department.,standardized administrative workflow across department,neutral,0.0,2,standardized administrative workflow across department
DOCE Fire Prevention Bureau,"Single Property View: View violations, permits, inspections, COs, capacities, and historical records from one screen.",single property view view violation permit inspection co capacity historical record one screen,negative,-0.5267,3,single property view view violation permit inspection co capacity historical record one screen
DOCE Fire Prevention Bureau,Better Historical Visibility: Quickly access prior violations and occupancy history.,better historical visibility quickly access prior violation occupancy history,negative,-0.128,8,better historical visibility quickly access prior violation occupancy history
DOCE Fire Prevention Bureau,Improved Search Capabilities: Simplify parcel and property searches.,improved search capability simplify parcel property search,positive,0.4767,8,improved search capability simplify parcel property search
DOCE Fire Prevention Bureau,Integrated Property Intelligence: Display all relevant property information together.,integrated property intelligence display relevant property information together,positive,0.4767,3,integrated property intelligence display relevant property information together
DOCE Fire Prevention Bureau,"Standardized Documentation: Store inspections, photos, violations, and actions in a consistent location.",standardized documentation store inspection photo violation action consistent location,negative,-0.5267,0,standardized documentation store inspection photo violation action consistent location
DOCE Fire Prevention Bureau,Unified Case Records: Eliminate multiple documentation locations.,unified case record eliminate multiple documentation location,positive,0.3818,1,unified case record eliminate multiple documentation location
DOCE Fire Prevention Bureau,Improved Certificate Review Process: Consolidate information required for CO sign-offs.,improved certificate review process consolidate information required co,positive,0.4767,6,improved certificate review process consolidate information required co
DOCE Fire Prevention Bureau,Integrated Inspection History: Provide complete inspection visibility.,integrated inspection history provide complete inspection visibility,neutral,0.0,7,integrated inspection history provide complete inspection visibility
DOCE Fire Prevention Bureau,Mobile IPS Access: Support inspections from mobile devices.,mobile ip access support inspection mobile device,positive,0.4019,4,mobile ip access support inspection mobile device
DOCE Fire Prevention Bureau,Real-Time Documentation: Enter inspection findings directly in the field.,documentation enter inspection finding directly field,neutral,0.0,3,documentation enter inspection finding directly field
DOCE Fire Prevention Bureau,Field-Based Reporting: Generate inspection reports without returning to the office.,reporting generate inspection report without returning office,neutral,0.0,2,reporting generate inspection report without returning office
DOCE Fire Prevention Bureau,Better IPS-Camino-EPR Integration: Reduce duplicate work across systems.,better integration reduce duplicate work across system,positive,0.4404,5,better integration reduce duplicate work across system
DOCE Fire Prevention Bureau,"Unified Fire Prevention Workflow: Connect permit reviews, inspections, complaints, and enforcement.",unified fire prevention workflow connect permit review inspection complaint enforcement,negative,-0.3612,2,unified fire prevention workflow connect permit review inspection complaint enforcement
DOCE Fire Prevention Bureau,Automated Data Sharing: Improve information sharing between systems.,automated data sharing improve information sharing system,positive,0.8176,8,automated data sharing improve information sharing system
DOCE Fire Prevention Bureau,Integrated Compliance Engine Data: Better access to sprinkler and fire system compliance information.,integrated compliance engine data better access sprinkler fire system compliance information,positive,0.128,7,integrated compliance engine data better access sprinkler fire system compliance information
DOCE Fire Prevention Bureau,Integrated Calendar Functionality: Add scheduling and reminder capabilities directly into permitting and inspection workflows.,integrated calendar functionality add scheduling reminder capability directly permitting inspection workflow,neutral,0.0,5,integrated calendar functionality add scheduling reminder capability directly permitting inspection workflow
DOCE Fire Prevention Bureau,Automated Task Tracking: Reduce reliance on Outlook and personal planners.,automated task tracking reduce reliance outlook personal planner,neutral,0.0,5,automated task tracking reduce reliance outlook personal planner
DOCE Fire Prevention Bureau,Inspection Workflow Visibility: Better visibility into inspection schedules and assignments.,inspection workflow visibility better visibility inspection schedule assignment,positive,0.4404,6,inspection workflow visibility better visibility inspection schedule assignment
DOCE Fire Prevention Bureau,Cloud-Based Platform: Improve accessibility and usability.,platform improve accessibility usability,positive,0.4404,5,platform improve accessibility usability
DOCE Fire Prevention Bureau,Modern User Interface: Replace outdated and non-intuitive screens.,modern user interface replace outdated screen,neutral,0.0,0,modern user interface replace outdated screen
DOCE Fire Prevention Bureau,Reduced Research Time: Minimize time spent locating property and occupancy information.,reduced research time minimize time spent locating property occupancy information,neutral,0.0,3,reduced research time minimize time spent locating property occupancy information
DOCE Fire Prevention Bureau,"Comprehensive Fire Prevention Platform: Support plan reviews, inspections, complaints, licensing, enforcement, and certificates in one connected environment.",comprehensive fire prevention platform support plan review inspection complaint licensing enforcement certificate one connected environment,neutral,-0.1027,0,comprehensive fire prevention platform support plan review inspection complaint licensing enforcement certificate one connected environment
DOCE Fire Prevention Bureau,Real-Time Field Operations: Enable inspectors and Fire Marshals to perform all field activities electronically.,field operation enable inspector fire marshal perform field activity electronically,negative,-0.34,3,field operation enable inspector fire marshal perform field activity electronically
DOCE Fire Prevention Bureau,Integrated Public Safety Data: Connect Fire Prevention activities with broader Code Enforcement and permitting operations.,integrated public safety data connect fire prevention activity broader code enforcement permitting operation,positive,0.1027,3,integrated public safety data connect fire prevention activity broader code enforcement permitting operation
LAW Law,"Complete Case Documentation: Require complete notes, notices, photographs, Nail & Mail documentation, and supporting evidence before cases are forwarded for legal review.",complete case documentation require complete note notice photograph nail mail documentation supporting evidence case forwarded legal review,positive,0.5267,0,complete case documentation require complete note notice photograph nail mail documentation supporting evidence case forwarded legal review
LAW Law,"Integrated Property Information: Integrate water records, tax information, and ownership records directly into IPS to reduce reliance on external systems.",integrated property information integrate water record tax information ownership record directly ip reduce reliance external system,neutral,0.0,4,integrated property information integrate water record tax information ownership record directly ip reduce reliance external system
LAW Law,"Property-Level Case View: Provide consolidated property summaries that combine all complaints, violations, and enforcement history into a single view.",case view provide consolidated property summary combine complaint violation enforcement history single view,negative,-0.7269,4,case view provide consolidated property summary combine complaint violation enforcement history single view
LAW Law,Improved Document Management: Improve Action Notes formatting and make supporting documents easier to locate and review.,improved document management improve action note formatting make supporting document easier locate review,positive,0.8934,6,improved document management improve action note formatting make supporting document easier locate review
LAW Law,Document Export Capability: Allow IPS information to transfer directly into Microsoft Word for legal document preparation.,document export capability allow ip information transfer directly microsoft word legal document preparation,positive,0.34,0,document export capability allow ip information transfer directly microsoft word legal document preparation
LAW Law,Standardized Documentation Practices: Improve consistency in how inspectors document cases and upload evidence.,standardized documentation practice improve consistency inspector document case upload evidence,positive,0.4404,3,standardized documentation practice improve consistency inspector document case upload evidence
LAW Law,"Improved Interdepartmental Coordination: Strengthen communication between inspectors, supervisors, paralegals, and attorneys throughout the enforcement process.",improved interdepartmental coordination strengthen communication inspector supervisor paralegal attorney throughout enforcement process,positive,0.6597,8,improved interdepartmental coordination strengthen communication inspector supervisor paralegal attorney throughout enforcement process
LAW Law,Reduced Manual Research: Reduce the need to search multiple external systems by consolidating legal and property information.,reduced manual research reduce need search multiple external system consolidating legal property information,positive,0.128,3,reduced manual research reduce need search multiple external system consolidating legal property information
LAW Law,Improved Workflow Efficiency: Streamline the process from case referral through court filing by ensuring complete information is available at each stage.,improved workflow efficiency streamline process case referral court filing ensuring complete information available stage,positive,0.7717,8,improved workflow efficiency streamline process case referral court filing ensuring complete information available stage
DOCE Housing Inspectors,Global Property View: Display all active and historical cases associated with a property.,global property view display active historical case associated property,positive,0.4019,0,global property view display active historical case associated property
DOCE Housing Inspectors,Case Status Labels: Allow cases to be categorized by status and activity type.,case status label allow case categorized status activity type,positive,0.2263,0,case status label allow case categorized status activity type
DOCE Housing Inspectors,Cases Needing Review Dashboard: Identify cases requiring attention.,case needing review dashboard identify case requiring attention,neutral,0.0,2,case needing review dashboard identify case requiring attention
DOCE Housing Inspectors,Missing Inspection Tracking: Report on cases without scheduled inspections.,missing inspection tracking report case without scheduled inspection,negative,-0.296,2,missing inspection tracking report case without scheduled inspection
DOCE Housing Inspectors,Batch Processing: Generate violation numbers and perform updates more efficiently.,batch processing generate violation number perform update efficiently,negative,-0.0534,2,batch processing generate violation number perform update efficiently
DOCE Housing Inspectors,Integrated Water Information: Provide direct access to water records.,integrated water information provide direct access water record,neutral,0.0,6,integrated water information provide direct access water record
DOCE Housing Inspectors,Integrated Lead Information: Display lead-risk information within property records.,integrated lead information display information within property record,neutral,0.0,4,integrated lead information display information within property record
DOCE Housing Inspectors,Unified Address Management: Create a centralized address database.,unified address management create centralized address database,positive,0.5719,3,unified address management create centralized address database
DOCE Housing Inspectors,Ownership Synchronization: Automatically update ownership information across related cases.,ownership synchronization automatically update ownership information across related case,neutral,0.0,0,ownership synchronization automatically update ownership information across related case
DOCE Housing Inspectors,Cross-Case Updates: Ensure information changes apply to all relevant records.,update ensure information change apply relevant record,positive,0.3818,1,update ensure information change apply relevant record
DOCE Housing Inspectors,Faster Action Selection: Reduce clicks required to complete common tasks.,faster action selection reduce click required complete common task,neutral,0.0,2,faster action selection reduce click required complete common task
DOCE Housing Inspectors,Custom Shortcuts: Allow user-defined shortcuts for common actions.,custom shortcut allow shortcut common action,positive,0.2263,0,custom shortcut allow shortcut common action
DOCE Housing Inspectors,Simplified Dropdowns: Reduce unnecessary dropdown options.,simplified dropdowns reduce unnecessary dropdown option,neutral,0.0,3,simplified dropdowns reduce unnecessary dropdown option
DOCE Housing Inspectors,Streamlined Rental Registry Integration: Better integration between IPS and the Periodic Inspection portal.,streamlined rental registry integration better integration ip periodic inspection portal,positive,0.4404,10,streamlined rental registry integration better integration ip periodic inspection portal
DOCE Housing Inspectors,Improved Search & Navigation: Make property and case information easier to find.,improved search navigation make property case information easier find,positive,0.7096,8,improved search navigation make property case information easier find
DOCE Housing Inspectors,Reduce Freezing & Crashes: Improve reliability and responsiveness.,reduce freezing crash improve reliability responsiveness,negative,0.3612,3,reduce freezing crash improve reliability responsiveness
DOCE Housing Inspectors,Faster Case Loading: Improve performance when opening and reviewing cases.,faster case loading improve performance opening reviewing case,positive,0.4404,5,faster case loading improve performance opening reviewing case
DOCE Housing Inspectors,Stable Remote Access: Improve connectivity for remote users.,stable remote access improve connectivity remote user,positive,0.6249,5,stable remote access improve connectivity remote user
DOCE Housing Inspectors,Mobile & In-Field Capabilities,mobile capability,neutral,0.0,2,mobile capability
DOCE Housing Inspectors,Field-Based Case Updates: Allow inspectors to update cases while conducting inspections.,case update allow inspector update case conducting inspection,positive,0.2263,0,case update allow inspector update case conducting inspection
DOCE Housing Inspectors,Laptop Access in Field: Restore or expand laptop access for field work.,laptop access field restore expand laptop access field work,positive,0.5423,2,laptop access field restore expand laptop access field work
DOCE Housing Inspectors,Mobile Documentation: Enable real-time note and photo uploads.,mobile documentation enable note photo uploads,neutral,0.0,5,mobile documentation enable note photo uploads
DOCE Housing Inspectors,Remote System Access: Improve remote access to inspection systems.,remote system access improve remote access inspection system,positive,0.4404,5,remote system access improve remote access inspection system
DOCE Housing Inspectors,"Single Property Record: Consolidate ownership, water, lead, permit, and case information.",single property record consolidate ownership water lead permit case information,neutral,0.0,2,single property record consolidate ownership water lead permit case information
DOCE Housing Inspectors,Centralized Property Research: Reduce the need to use multiple systems.,centralized property research reduce need use multiple system,neutral,0.0,5,centralized property research reduce need use multiple system
DOCE Housing Inspectors,Unified Information Management: Create a single source of truth for housing enforcement activities.,unified information management create single source truth housing enforcement activity,positive,0.7184,2,unified information management create single source truth housing enforcement activity
DOCE Housing Inspectors,Operational Statistics: Provide reporting on cases without inspection dates and cases awaiting review.,operational statistic provide reporting case without inspection date case awaiting review,neutral,0.0,2,operational statistic provide reporting case without inspection date case awaiting review
DOCE Housing Inspectors,Case Monitoring Dashboards: Improve visibility into workload and case status.,case monitoring dashboard improve visibility workload case status,positive,0.4404,7,case monitoring dashboard improve visibility workload case status
DOCE Housing Inspectors,Lead Risk Identification: Automatically identify high-risk lead properties when cases are opened.,lead risk identification automatically identify lead property case opened,negative,-0.2732,0,lead risk identification automatically identify lead property case opened
DOCE Housing Inspectors,Training & User Support,training user support,positive,0.4019,0,training user support
DOCE Housing Inspectors,User Documentation: Provide clear user guides and training materials.,user documentation provide clear user guide training material,positive,0.3818,0,user documentation provide clear user guide training material
DOCE Housing Inspectors,Consistent Workflows: Standardize processes across Housing Inspectors.,consistent workflow standardize process across housing inspector,neutral,0.0,2,consistent workflow standardize process across housing inspector
DOCE Housing Inspectors,Improved User Experience: Maintain IPS's user-friendly design while improving efficiency and functionality.,improved user experience maintain ip design improving efficiency functionality,positive,0.8126,9,improved user experience maintain ip design improving efficiency functionality
