Focus Group,Content,processed_content,category,label,vader_sentiment
7DOCE Discovery Session | Admin Aides Group 1,IPS crash 2-3 times per day,ip crash time per day,ip,negative,negative
7DOCE Discovery Session | Admin Aides Group 1,"S: Limit on tabs IPS can handle- multi-task – may have 7 tabs open, upload documents, tabs open – when that error comes up – is there a limit to tabs before crashes? On average ~10 complaint cases open",limit tab ip may tab open upload document tab open error come limit tab crash average complaint case open,tab,negative,negative
DOCE Discovery Session | Building Inspectors Group 1,IPS crashes – 3 or 4 cases – someone calls – may have lost your case – doesn't save session,ip crash case someone call may lost case save session,case,negative,negative
DOCE Discovery Session | Building Inspectors Group 1,Fire will also start their own cases in IPS – they don’t follow up on it – now inspectors do it for them,fire also start case ip follow inspector,fire,negative,negative
DOCE Discovery Session | Building Inspectors Group 1,Some of the inspectors do not have the ability to delete actions or photos in IPS if they are added by mistake. A lot of them come to me to do that for them.,inspector ability delete action photo ip added mistake lot come,inspector,neutral,negative
DOCE Discovery Session | Supervisors Group,Missed case management from beginning of IPS until today – parcel history,missed case management beginning ip today parcel history,missed,negative,negative
DOCE Discovery Session | Housing Inspectors Group,If starting a RR case – somewhere in IPS that indicates high-risk zone – some that get missed or forgets,starting rr case somewhere ip indicates zone get missed forgets,starting,negative,negative
DOCE Discovery Session | Housing Inspectors Group,Way to organize cases on main IPS screen – they can add tickle date and write a note for next step – no way to access with clicking into the case,way organize case main ip screen add tickle date write note next step way access clicking case,way,neutral,negative
DOCE Discovery Session | Housing Inspectors Group,Look Before You Rent – don’t have access to IPS in the field – look up violations on the fly,look rent access ip field look violation fly,look,negative,negative
DOCE Discovery Session | Housing Inspectors Group,Used IPS on tablet once when first started – confusing,used ip tablet first started confusing,used,negative,negative
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,If you schedule an inspection in Camino – have to add it to Outlook – no integration with Outlook with either Camino or IPS,schedule inspection camino add outlook integration outlook either camino ip,camino,neutral,negative
DOCE Discovery Session | Fire Prevention Bureau,"Brian F – was in Codes before Fire, very familiar with IPS, does Permit Plans Review for Fire (remote)",brian f code fire familiar ip permit plan review fire remote,fire,negative,negative
DOCE Discovery Session | Fire Prevention Bureau,Only thing remaining in IPS is a complaint inspections,thing remaining ip complaint inspection,thing,negative,negative
DOCE Discovery Session | Fire Prevention Bureau,Only start complaint in IPS if it’s a stop work order,start complaint ip stop work order,start,negative,negative
DOCE Discovery Session | Fire Prevention Bureau,"Too many places to put things in IPS – can add documents in inspection, complaint, parcel",many place put thing ip add document inspection complaint parcel,many,negative,negative
DOCE Discovery Session | Central Permit Office,IPS more for property history or code violation search for CPO team + permit history purposes,ip property history code violation search cpo team permit history purpose,history,negative,negative
DOCE Discovery Session | Central Permit Office,They look in IPS for violations and Camino for permits,look ip violation camino permit,look,negative,negative
DOCE Discovery Session | Central Permit Office,Lack of search capabilities in IPS – can't search on keyword searches e.g. Chimes building – difficult when many things on a parcel – easier to search in Camino,lack search capability ip ca search keyword search chime building difficult many thing parcel easier search camino,search,negative,negative
DOCE Discovery Session | Central Permit Office,Takes a long time to get updated information in IPS e.g. GIS information updated in county – lagged in IPS i.e. IPS says wrong thing and applicant was right,take long time get updated information ip gi information updated county lagged ip ip say wrong thing applicant right,ip,negative,negative
DOCE Discovery Session | Central Permit Office,Not in IPS - likes Camino timestamps so you know who did what i.e. if you need to know who deleted a note and when,ip like camino timestamps know need know deleted note,know,positive,negative
DOCE Discovery Session | Central Permit Office,"Not much existing documentation for IPS – figure it out, trial and error",much existing documentation ip figure trial error,much,negative,negative
DOCE Discovery Session | Central Permit Office,Mirza or Chuck come up with invoice – they determine which project to tie it to – violations they charge for only in IPS (not in Camino yet),mirza chuck come invoice determine project tie violation charge ip camino yet,mirza,negative,negative
DOCE Discovery Session | Central Permit Office,Difficulty of suing IPS offsite or out of this building – super inconvenient – pull it up while in field,difficulty suing ip offsite building super inconvenient pull field,difficulty,negative,negative
DOCE Discovery Session | Zoning,Some historical stuff entered in IPS – but not comprehensive often times,historical stuff entered ip comprehensive often time,historical,positive,negative
DOCE Discovery Session | Zoning,Don’t use IPS for notetaking on historical cases – will fix older things if notice wrong or upload resolution if they find it,use ip notetaking historical case fix older thing notice wrong upload resolution find,use,negative,negative
DOCE Discovery Session | Zoning,Switching between IPS and OnBase so often because IPS is missing stuff,switching ip onbase often ip missing stuff,ip,negative,negative
DOCE Discovery Session | DOCE Office Staff,"Tim: Handles CE email, includes SeeClickFix – mostly that comes in (community complaints). Opens complaint, checks address, runs in IPS, see if complaint has already been cited. Tend to be exterior complaints.",tim handle ce email includes seeclickfix mostly come community complaint open complaint check address run ip see complaint already cited tend exterior complaint,complaint,negative,negative
DOCE Discovery Session | DOCE Office Staff,"FOIL requests – website JustFOIA – anywhere from I need all details of a specific case or I need every cert or violation issued since beginning of time. IPS, OnBase, and records in basement.",foil request website justfoia anywhere need detail specific case need every cert violation issued since beginning time ip onbase record basement,need,negative,negative
Discovery Session | Law,"John: IPS inconsistent in terms of utilization – documents not always uploaded, inspector notes sometimes missing on field activity",john ip inconsistent term utilization document always uploaded inspector note sometimes missing field activity,john,negative,negative
Discovery Session | Assessment,"Once keypunch resub in Assessment – it does sync to IPS – will see the 2 new addresses, but won’t see the new assessment (info is blocked because not finalized)",keypunch resub assessment sync ip see new address see new assessment info blocked finalized,assessment,negative,negative
BAA Discovery Session | BAA,"When there’s multiple violations, it gets cumbersome in IPS",multiple violation get cumbersome ip,multiple,negative,negative
NBD Discovery Session | NBD,Uses IPS to pull complaint action summaries (Codes cases) or community ambassador cases,us ip pull complaint action summary code case community ambassador case,case,negative,negative
NBD Discovery Session | NBD,IPS is so bad with large building complexes,ip bad large building complex,ip,negative,negative
NBD Discovery Session | NBD,"Zombies properties: Cleaned up process enough, Manila gets property, initial letter, refers to Law to send second letter – often gets lost, Law not putting info into IPS or they’re not reaching out? Ideally would send second letter and if no response, would put in Blight Busting pipeline – don't always feel comfortable doing because",zombie property cleaned process enough manila get property initial letter refers law send second letter often get lost law putting info ip reaching ideally would send second letter response would put blight busting pipeline always feel comfortable,letter,positive,negative
NBD Discovery Session | NBD,IPS runs slow when doing mass data entry – may crash,ip run slow mass data entry may crash,ip,negative,negative
CPC Discovery Session | CPC,Musi involved – creates estimate for PO – researches fines in IPS,musi involved creates estimate po research fine ip,musi,negative,negative
CPC Discovery Session | CPC,"IPS – BAA tickets *what slows down the most – if property has a lot violations, takes a long time to load",ip baa ticket slows property lot violation take long time load,ip,negative,negative
CPC Discovery Session | CPC,Search by violation number – post payment so that IPS reflects most recent,search violation number post payment ip reflects recent,search,negative,negative
NBD Discovery Session | NBD Data Team,"Jonah: piulll data from IPS: home unit report, TL report, ppl could be involve: rob carpenter & corienne. TL mixz of data entry into IPS and Camino.",jonah piulll data ip home unit report tl report ppl could involve rob carpenter corienne tl mixz data entry ip camino,data,negative,negative
NBD Discovery Session | NBD Data Team,"C: it is in sql and queriable but we dont have robust database diagrams from vendor. In ips when u have AG configured those can act as block so manual reviews happens, it is uses for case mangement and review so the review can happen in same sys,",c sql queriable dont robust database diagram vendor ip u ag configured act block manual review happens us case mangement review review happen sys,review,negative,negative
NBD Discovery Session | NBD Data Team,J: CfC complain cases: inspection using inspection actionsfor tickle dates to follow up. Needs to understand how it is used. Case mangement tools they have to organise follow up in IPS.,j cfc complain case inspection using inspection actionsfor tickle date follow need understand used case mangement tool organise follow ip,case,negative,negative
NBD Discovery Session | NBD Data Team,"R: process: lack of standardize data entry due to lack of processes. Codes staff notes make it hard to parse data. System training & support. Lack of automation: BAA process is manual, automatic double fines. Workflow related. Lack of sys use for cross dept  projects: law dept. Camino & Ips makes in difficult for continutity. Timely sys update, literally years to solve anything. IT have to manually go into each sys and there could be a bug. It is clunky, easy to accidentally break things: deactive rec type, SPCC book, lack of data validation, things missing. Limited ability to associate inspection types with case type. Resubs occure limitations. Limited track organise cases based on unit level. Address book cant add related address if already exist. BAA only can track things on case level only, but we need more. If one violation is correct but other exists, it is very challenging and messy.",r process lack standardize data entry due lack process code staff note make hard parse data system training support lack automation baa process manual automatic double fine workflow related lack sys use cross dept project law dept camino ip make difficult continutity timely sys update literally year solve anything manually go sys could bug clunky easy accidentally break thing deactive rec type spcc book lack data validation thing missing limited ability associate inspection type case type resubs occure limitation limited track organise case based unit level address book cant add related address already exist baa track thing case level need one violation correct exists challenging messy,lack,negative,negative
